,GAME_ID,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS
719,21500720,24,53,0.311688311688,42,35,0.368421052632,60,58
720,21500721,42,58,0.42,44,41,0.482352941176,44,45
721,21500722,37,42,0.46835443038,39,42,0.428571428571,56,49
722,21500723,42,38,0.525,50,30,0.357142857143,54,37
723,21500724,35,52,0.402298850575,37,42,0.6,28,40
724,21500725,39,40,0.493670886076,53,39,0.458823529412,46,27
725,21500726,37,37,0.5,42,39,0.40625,57,51
726,21500727,45,38,0.542168674699,49,26,0.346666666667,49,35
727,21500728,37,47,0.440476190476,50,36,0.413793103448,51,42
728,21500729,36,47,0.433734939759,53,42,0.5,42,37
729,21500730,29,51,0.3625,50,40,0.444444444444,50,45
730,21500731,44,40,0.52380952381,34,38,0.447058823529,47,51
731,21500732,35,42,0.454545454545,38,33,0.458333333333,39,35
732,21500733,38,46,0.452380952381,49,37,0.435294117647,48,43
733,21500734,39,40,0.493670886076,31,45,0.569620253165,34,33
734,21500735,39,40,0.493670886076,49,36,0.444444444444,45,28
735,21500736,33,49,0.40243902439,38,41,0.488095238095,43,50
736,21500737,41,54,0.431578947368,49,32,0.376470588235,53,48
737,21500738,33,45,0.423076923077,40,43,0.494252873563,44,44
738,21500739,44,45,0.494382022472,38,48,0.521739130435,44,49
739,21500740,44,49,0.47311827957,50,45,0.483870967742,48,39
740,21500741,32,53,0.376470588235,46,34,0.4,51,54
741,21500742,39,39,0.5,36,41,0.455555555556,49,45
742,21500743,32,41,0.438356164384,38,26,0.371428571429,44,41
743,21500744,40,46,0.46511627907,45,36,0.428571428571,48,49
744,21500745,32,42,0.432432432432,35,37,0.493333333333,38,42
745,21500746,38,39,0.493506493506,42,35,0.421686746988,48,43
746,21500747,38,46,0.452380952381,40,36,0.461538461538,42,48
747,21500748,38,43,0.469135802469,40,39,0.464285714286,45,45
748,21500749,31,51,0.378048780488,54,36,0.423529411765,49,49
749,21500750,38,37,0.506666666667,32,37,0.411111111111,53,53
750,21500751,36,45,0.444444444444,41,41,0.445652173913,51,48
751,21500752,31,47,0.397435897436,39,40,0.540540540541,34,44
752,21500753,38,40,0.487179487179,46,34,0.404761904762,50,38
753,21500754,48,38,0.558139534884,46,44,0.5,44,31
754,21500755,36,50,0.418604651163,47,38,0.431818181818,50,49
755,21500756,30,50,0.375,47,32,0.426666666667,43,37
756,21500757,37,48,0.435294117647,48,42,0.45652173913,50,40
757,21500758,26,47,0.356164383562,45,28,0.405797101449,41,41
758,21500759,24,38,0.387096774194,33,36,0.514285714286,34,40
759,21500760,24,52,0.315789473684,43,35,0.402298850575,52,54
760,21500761,37,43,0.4625,43,37,0.435294117647,48,44
